OrderID,ProductID,Quantity,Price,SaleDate
O1001,P001,2,899.00,2026-01-05
O1002,P003,1,45.50,2026-01-08
O1003,P002,3,120.00,2026-01-12
O1004,P005,1,1250.00,2026-01-15
O1005,P004,4,25.00,2026-01-20
O1006,P001,1,899.00,2026-02-02
O1007,P006,2,60.00,2026-02-06
O1008,P002,2,120.00,2026-02-10
O1009,P007,5,15.00,2026-02-14
O1010,P003,3,45.50,2026-02-18
O1011,P008,1,340.00,2026-02-25
O1012,P005,2,1250.00,2026-03-01
O1013,P004,6,25.00,2026-03-05
O1014,P001,1,899.00,2026-03-09
O1015,P006,3,60.00,2026-03-14
O1016,P007,4,15.00,2026-03-18
O1017,P002,1,120.00,2026-03-22
O1018,P008,2,340.00,2026-03-27
